CODIGO;VARIABLE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;ANUAL;;;
ES01;PM10;6,4;15,6;10,4;5;9,7;15,4;21,6;12,2;13,3;9,5;4,4;5,7;10,5;;;
ES01;SO42--S;0,148;0,287;0,31;0,247;0,276;0,397;0,624;0,409;0,449;0,288;0,133;0,165  ;0,311  ;;;
ES01;NO3-N;0,185;0,38;0,246;0,137;0,135;0,156;0,206;0,167;0,235;0,168;0,057;0,079  ;0,178  ;;;
ES01;HNO3-N+NO3--N;0,273;0,468;0,257;0,277;0,154;0,275;0,353;0,313;0,407;0,287;0,118;0,167  ;0,277  ;;;
ES01;NH3-N+NH4+-N;1,739;1,99;2,027;1,368;1,782;1,351;2,159;1,814;1,99;1,52;0,58;1,096  ;1,616  ;;;
ES05;PM10;4,1;10,3;7,6;5,9;5,5;4,5;10,2;7,1;9,5;5,6;4,6;5,2;6,6;;;
ES05;SO42--S;0,198;0,309;0,265;0,295;0,315;0,353;0,562;0,455;0,382;0,266;0,157;0,182  ;0,303  ;;;
ES05;NO3-N;0,113;0,27;0,172;0,138;0,125;0,111;0,182;0,163;0,149;0,108;0,029;0,105  ;0,140  ;;;
ES05;HNO3-N+NO3--N;0,172;0,283;0,287;0,246;0,152;0,198;0,266;0,209;0,196;0,133;0,076;0,155  ;0,197  ;;;
ES05;NH3-N+NH4+-N;0,56;0,5;0,803;0,702;0,574;0,362;0,761;0,636;0,817;0,353;0,176;0,231  ;0,540  ;;;
ES06;PM10;18,3;17,8;18,3;17,3;16,1;15,1;18,7;17,7;18,9;16,2;13,6;19,9;17,4;;;
ES06;SO42--S;0,532;0,768;0,715;0,814;0,667;1,061;1,099;1,339;1,143;0,741;0,465;0,601  ;0,829  ;;;
ES06;NO3-N;0,321;0,497;0,555;0,439;0,389;0,444;0,457;0,492;0,423;0,383;0,265;0,433  ;0,426  ;;;
ES06;HNO3-N+NO3--N;0,344;0,513;0,587;0,559;0,406;0,415;0,451;0,594;0,463;0,382;0,229;0,246  ;0,434  ;;;
ES06;NH3-N+NH4+-N;0,841;1,198;1,413;1,138;1,039;1,61;2,222;2,02;1,514;1,228;0,926;0,775  ;1,336  ;;;
ES07;PM10;9;17,6;19,2;14,4;20,5;22,2;30,8;21;18,3;13,2;4;5,4;15,9;;;
ES07;SO42--S;0,217;0,26;0,37;0,302;0,44;0,683;0,736;0,691;0,651;0,371;0,174;0,131  ;0,419  ;;;
ES07;NO3-N;0,279;0,337;0,346;0,188;0,248;0,359;0,334;0,287;0,334;0,255;0,09;0,084  ;0,262  ;;;
ES07;HNO3-N+NO3--N;0,484;0,577;0,478;0,314;0,311;0,442;0,589;0,539;0,518;0,287;0,152;0,218  ;0,407  ;;;
ES07;NH3-N+NH4+-N;1,29;2,223;3,041;1,549;1,506;1,767;2,153;2,058;1,465;0,908;0,501;0,425  ;1,565  ;;;
ES08;PM10;12;27;21,8;15,4;13;11,2;***;***;***;***;6,4;12,2;***;;;
ES08;SO42--S;0,346;0,49;0,573;0,56;0,622;0,742;***;***;***;***;0,214;0,391  ;***;;;
ES08;NO3-N;0,2;0,39;0,49;0,275;0,281;0,184;***;***;***;***;0,04;0,214  ;***;;;
ES08;HNO3-N+NO3--N;0,375;0,597;0,789;0,459;0,439;0,304;***;***;***;***;0,108;0,399  ;***;;;
ES08;NH3-N+NH4+-N;1,337;1,53;1,88;1,277;0,789;1,118;***;***;***;***;1,526;1,435  ;***;;;
ES09;PM10;4;10,1;8,7;6,2;6,1;13,5;17;9,9;7;6,6;2,5;3,4;7,9;;;
ES09;SO42--S;0,114;0,213;0,211;0,258;0,239;0,381;0,521;0,378;0,318;0,209;0,08;0,125  ;0,258  ;;;
ES09;NO3-N;0,09;0,227;0,148;0,12;0,089;0,144;0,169;0,134;0,138;0,124;0,033;0,045  ;0,123  ;;;
ES09;HNO3-N+NO3--N;0,222;0,545;0,332;0,248;0,153;0,223;0,295;0,277;0,214;0,27;0,189;0,200  ;0,248  ;;;
ES09;NH3-N+NH4+-N;0,687;0,848;1,346;0,823;0,706;0,953;1,455;1,16;0,867;0,859;0,356;0,546  ;0,877  ;;;
ES10;PM10;17,4;21;16,3;16,1;13,8;15,2;17,5;15,8;15,6;14,8;9,2;17,5;15,9;;;
ES10;SO42--S;0,351;0,56;0,465;0,573;0,465;0,778;0,897;0,849;0,508;0,521;0,248;0,417  ;0,554  ;;;
ES10;NO3-N;0,303;0,792;0,497;0,42;0,263;0,375;0,347;0,332;0,374;0,361;0,237;0,424  ;0,392  ;;;
ES10;HNO3-N+NO3--N;0,364;1,074;0,683;0,53;0,283;0,667;0,496;0,477;0,489;0,558;0,343;0,495  ;0,539  ;;;
ES10;NH3-N+NH4+-N;0,974;1,328;1,531;1,444;1,173;1,425;1,947;1,744;1,45;1,235;0,855;0,777  ;1,332  ;;;
ES11;PM10;8,8;17,4;11,8;8,8;12,5;14,4;21;17,5;21,6;15,6;8,1;7,8;13,8;;;
ES11;SO42--S;0,188;0,405;0,305;0,321;0,387;0,408;0,729;0,486;0,495;0,37;0,242;0,227  ;0,380  ;;;
ES11;NO3-N;0,223;0,372;0,244;0,161;0,198;0,195;0,287;0,216;0,305;0,26;0,115;0,156  ;0,229  ;;;
ES11;HNO3-N+NO3--N;0,201;0,331;0,285;0,147;0,263;0,188;0,289;0,202;0,225;0,226;0,197;0,227  ;0,231  ;;;
ES11;NH3-N+NH4+-N;1,499;1,57;1,367;0,839;1,522;1,015;1,581;1,568;1,602;1,127;0,562;0,766  ;1,237  ;;;
ES12;PM10;6,5;10,6;9,3;6,8;8;12,6;18,2;15,8;14,1;10,5;4,1;7,1;10,3;;;
ES12;SO42--S;0,176;0,341;0,333;0,376;0,378;0,655;0,928;0,75;0,71;0,387;0,158;0,258  ;0,454  ;;;
ES12;NO3-N;0,317;0,44;0,388;0,253;0,257;0,304;0,374;0,373;0,366;0,347;0,115;0,275  ;0,316  ;;;
ES12;HNO3-N+NO3--N;0,358;0,525;0,475;0,326;0,324;0,424;0,468;0,439;0,368;0,388;0,191;0,280  ;0,380  ;;;
ES12;NH3-N+NH4+-N;1,547;1,511;1,845;1,32;1,441;1,104;2,049;1,977;1,647;1,49;0,819;0,882  ;1,472  ;;;
ES13;PM10;4,2;11,6;6,7;5,1;6,2;8,3;11,3;8,5;7,6;7,2;3,9;4,3;7,1;;;
ES13;SO42--S;0,148;0,235;0,204;0,202;0,231;0,293;0,387;0,302;0,255;0,19;0,093;0,140  ;0,224  ;;;
ES13;NO3-N;0,202;0,391;0,262;0,118;0,114;0,132;0,156;0,14;0,169;0,134;0,036;0,138  ;0,166  ;;;
ES13;HNO3-N+NO3--N;0,289;0,531;0,39;0,2;0,209;0,233;0,258;0,236;0,205;0,187;0,113;0,215  ;0,254  ;;;
ES13;NH3-N+NH4+-N;1,215;1,92;1,615;0,954;1,245;1,08;1,545;1,472;1,35;0,98;0,358;0,623  ;1,193  ;;;
ES14;PM10;8,5;14,4;12,9;12,6;9,2;14,8;20,7;15,5;13,4;11,7;4,9;12,1;12,5;;;
ES14;SO42--S;0,289;0,419;0,373;0,583;0,38;0,548;0,675;0,735;0,49;0,416;0,143;0,333  ;0,449  ;;;
ES14;NO3-N;0,28;0,481;0,37;0,249;0,136;0,161;0,13;0,156;0,192;0,236;0,085;0,271  ;0,228  ;;;
ES14;HNO3-N+NO3--N;0,484;0,726;0,546;0,349;0,294;0,142;0,352;0,316;0,288;0,427;0,216;0,465  ;0,383  ;;;
ES14;NH3-N+NH4+-N;3,225;3,761;3,72;3,461;2,845;2,633;3,826;3,715;3,927;3,777;2,463;3,139  ;3,374  ;;;
ES16;PM10;7,4;15,4;11;9,3;10,2;8,3;10,1;8,8;9,3;7,8;5,4;7,4;9,2;;;
ES16;SO42--S;0,258;0,336;0,378;0,344;0,456;0,474;0,62;0,498;0,516;0,31;0,15;0,177  ;0,371  ;;;
ES16;NO3-N;0,201;0,335;0,296;0,135;0,175;0,149;0,166;0,165;0,172;0,158;0,024;0,105  ;0,172  ;;;
ES16;HNO3-N+NO3--N;0,144;0,253;0,287;0,161;0,144;0,341;0,204;0,14;0,134;0,147;0,074;0,153  ;0,181  ;;;
ES16;NH3-N+NH4+-N;1,359;1,845;2,032;1,119;1,978;1,129;1,659;1,455;1,35;0,959;0,351;0,552  ;1,313  ;;;
ES17;PM10;12,3;18,1;15;13,6;19,7;14,3;21;18,9;18;13,6;10,8;10,9;15,6;;;
ES17;SO42--S;0,367;0,638;0,511;0,557;0,787;0,827;1,367;0,947;1,144;0,741;0,419;0,392  ;0,734  ;;;
ES17;NO3-N;0,402;0,542;0,439;0,271;0,457;0,416;0,564;0,445;0,471;0,492;0,225;0,342  ;0,425  ;;;
ES17;HNO3-N+NO3--N;0,666;0,627;0,493;0,296;0,49;0,453;0,658;0,487;0,53;0,542;0,278;0,466  ;0,499  ;;;
ES17;NH3-N+NH4+-N;1,388;1,6;1,987;0,912;1,232;1,044;1,705;1,454;1,787;1,269;0,696;0,960  ;1,330  ;;;
