CODIGO;VARIABLE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;ANUAL
ES01;SO2;0,3;0,39;0,32;0,31;0,33;0,42;0,89;0,71;0,72;0,63;0,52;0,61;0,51
ES01;O3;71;67;78;77;85;89;103;92;92;76;62;64;80
ES01;NO;0,14;0,41;0,25;0,19;0,21;0,13;0,16;0,21;0,26;0,43;0,63;1,16;0,36
ES01;NO2;1,6;1,67;0,7;0,53;0,93;1,11;1,07;1,25;1,35;1,1;1,48;1,61;1,21
ES05;SO2;0,68;0,63;0,89;0,72;0,81;0,75;0,84;0,72;0,86;0,66;0,83;0,7;0,76
ES05;O3;56;55;58;56;56;45;50;51;69;58;57;59;56
ES05;NO;0,12;0,11;0,12;0,1;0,09;0,11;0,12;0,19;0,12;0,12;0,22;0,1;0,13
ES05;NO2;4,75;4,17;2,92;3,25;2,78;2,34;2,13;2,22;2,67;2,62;3,59;2,04;2,95
ES06;SO2;0,33;0,39;0,39;0,44;0,48;0,45;0,43;0,49;0,53;0,52;0,54;0,52;0,46
ES06;O3;72;76;85;95;81;76;85;77;89;73;75;67;79
ES06;NO;0,35;0,44;0,26;0,18;0,25;0,17;0,33;0,29;0,4;0,45;0,26;0,53;0,33
ES06;NO2;3,94;3,82;2,5;1,33;2,31;1,5;2,78;2,83;3,73;4,21;2,97;4,85;3,09
ES07;SO2;1,06;0,95;1,01;0,56;0,73;0,96;1,35;1,55;1,37;1,26;1,18;1,26;1,11
ES07;O3;71;77;80;76;88;84;100;94;86;77;68;63;80
ES07;NO;1,05;0,6;0,33;0,38;0,41;0,49;0,51;0,43;0,76;0,94;0,71;1,38;0,67
ES07;NO2;4,44;3,56;2,52;2,77;3,02;4,08;4,09;4,38;5;5,18;4,68;6,8;4,21
ES08;SO2;0,99;0,93;0,58;0,48;0,57;0,48;0,29;0,23;0,44;0,34;0,37;0,4;0,5
ES08;O3;66;69;81;81;78;72;69;66;78;74;69;74;73
ES08;NO;0,59;0,67;0,37;0,47;0,49;0,39;0,38;0,5;0,47;0,38;0,56;0,44;0,47
ES08;NO2;2,51;2,32;1,67;1,53;1,75;1,99;2,16;2,13;1,76;1,94;2,3;1,66;1,97
ES09;SO2;0,59;0,55;0,68;0,85;0,61;0,71;0,52;0,49;0,45;0,48;0,44;0,29;0,56
ES09;O3;64;62;75;76;78;77;84;81;81;65;57;67;72
ES09;NO;0,25;0,25;0,36;0,24;0,26;0,26;0,26;0,26;0,25;0,55;0,16;0,16;0,27
ES09;NO2;1,66;2,07;3,25;1,22;1,32;1,48;1,81;1,89;1,67;5,28;1,79;1,21;2,06
ES10;SO2;0,82;0,83;0,69;0,63;0,61;0,62;0,7;0,62;0,61;0,65;0,6;0,62;0,67
ES10;O3;62;70;81;93;88;76;77;79;85;67;62;57;75
ES10;NO;0,23;0,28;0,16;0,11;0,17;0,28;0,55;0,58;0,47;0,33;0,21;0,24;0,3
ES10;NO2;4,18;3,62;2,51;2,07;1,83;1,95;3,22;3,25;3,12;2,66;3,36;3,31;2,92
ES11;SO2;0,18;0,23;0,28;0,32;0,31;0,36;0,32;0,21;0,18;0,24;0,23;0,37;0,27
ES11;O3;49;45;61;58;61;68;88;70;73;56;47;48;60
ES11;NO;0,12;0,13;0,13;0,09;0,09;0,09;0,15;0,16;0,53;0,33;0,21;0,17;0,18
ES11;NO2;1,14;1,23;1,41;0,79;1,21;1,13;1,8;1,29;3,44;3,02;2,25;1,36;1,67
ES12;SO2;1,07;0,89;0,36;0,21;0,49;0,75;0,95;0,55;0,49;0,56;0,41;0,32;0,59
ES12;O3;66;64;74;87;84;84;88;86;86;72;64;58;76
ES12;NO;0,14;0,16;0,12;0,09;0,11;0,13;0,15;0,16;0,16;0,19;0,19;0,64;0,19
ES12;NO2;2,79;2,58;0,87;0,49;0,83;0,87;0,88;0,94;1,15;1,26;1,31;1,51;1,31
ES13;SO2;0,16;0,16;0,29;0,19;0,16;0,17;0,21;0,21;0,26;0,26;0,26;0,15;0,21
ES13;O3;58;59;70;69;76;73;81;72;77;66;55;59;68
ES13;NO;0,13;0,14;0,18;0,15;0,19;0,11;0,14;0,27;0,13;0,15;0,19;0,07;0,16
ES13;NO2;1;0,97;0,68;0,44;0,8;0,92;1,41;1,67;1,56;0,62;0,75;0,72;0,96
ES14;SO2;0,54;0,52;0,47;0,43;0,57;0,5;1,02;0,92;0,61;0,5;0,4;0,34;0,56
ES14;O3;47;63;75;80;78;78;86;84;83;67;51;52;70
ES14;NO;0,3;0,19;0,16;0,14;0,13;0,13;0,13;0,13;0,12;0,14;0,25;0,27;0,17
ES14;NO2;4,07;3,46;2,84;2,5;2,04;1,72;1,6;1,3;1,97;2,37;3,7;2,97;2,54
ES16;SO2;0,69;0,7;0,64;0,72;1,08;1,05;1,07;1,08;1,1;1,13;1,32;1,38;1
ES16;O3;51;59;66;65;68;61;59;53;62;57;51;60;59
ES16;NO;0,22;0,32;0,27;0,4;0,45;0,4;0,58;0,48;0,43;0,29;0,35;0,28;0,38
ES16;NO2;2,28;3,03;2,13;3,57;2,53;2,17;1,96;2,01;2,48;1,85;2,63;2,11;2,39
ES17;SO2;0,42;0,62;0,49;0,75;0,79;0,87;0,67;0,91;0,59;0,5;0,48;0,66;0,65
ES17;O3;43;50;70;75;75;72;80;69;71;64;43;48;64
ES17;NO;0,56;0,44;0,22;0,16;0,27;0,18;0,23;0,21;0,42;0,32;0,29;0,33;0,3
ES17;NO2;5,17;4,08;2,85;2,17;2,78;2,04;2,7;2,65;3,68;2,99;2,51;2,45;3
